device,output,destination,source,level,notes
S32 (AES50-A),1,IEM 1 Worship Leader L,Bus 1 L,+4 dBu,
S32 (AES50-A),2,IEM 1 Worship Leader R,Bus 1 R,+4 dBu,
S32 (AES50-A),3,IEM 2 BGV L,Bus 2 L,+4 dBu,Shared BGV 1-3
S32 (AES50-A),4,IEM 2 BGV R,Bus 2 R,+4 dBu,
S32 (AES50-A),5,IEM 3 Keys L,Bus 3 L,+4 dBu,
S32 (AES50-A),6,IEM 3 Keys R,Bus 3 R,+4 dBu,
S32 (AES50-A),7,IEM 4 Bass L,Bus 4 L,+4 dBu,
S32 (AES50-A),8,IEM 4 Bass R,Bus 4 R,+4 dBu,
S32 (AES50-A),9,IEM 5 Electric Gtr L,Bus 5 L,+4 dBu,
S32 (AES50-A),10,IEM 5 Electric Gtr R,Bus 5 R,+4 dBu,
S32 (AES50-A),11,IEM 6 Drums L,Bus 6 L,+4 dBu,
S32 (AES50-A),12,IEM 6 Drums R,Bus 6 R,+4 dBu,
S32 (AES50-A),13,Wedge 1 Pulpit,Bus 9,+4 dBu,Mono speech-focused
S32 (AES50-A),14,Wedge 2 Stage fill,Bus 10,+4 dBu,Mono
S32 (AES50-A),15,Spare IEM 7 L,Bus 7 L,+4 dBu,Programmed not patched
S32 (AES50-A),16,Spare IEM 7 R,Bus 7 R,+4 dBu,Programmed not patched
WING Local,1,Main PA Left,Matrix 1 L,+4 dBu,Room EQ and delay live in the matrix
WING Local,2,Main PA Right,Matrix 1 R,+4 dBu,Room EQ and delay live in the matrix
WING Local,3,Subwoofers,Matrix 2,+4 dBu,Aux-fed from Bus 15
WING Local,4,Front fills,Matrix 3,+4 dBu,Delayed to mains
WING Local,5,Broadcast to Osee L,Matrix 6 L,See doc 11,Pad may be required
WING Local,6,Broadcast to Osee R,Matrix 6 R,See doc 11,Pad may be required
WING Local,7,Lobby / overflow,Matrix 4,+4 dBu,Speech-forward
WING Local,8,Hearing assist,Matrix 7,+4 dBu,Speech-forward no FX
SD16 (AES50-B),1,Nursery / cry room,Matrix 5,+4 dBu,
SD16 (AES50-B),2,Green room,Matrix 8,+4 dBu,
SD16 (AES50-B),3,Spare zone L,-,-,
SD16 (AES50-B),4,Spare zone R,-,-,
SD16 (AES50-B),5,Backup broadcast L,Matrix 6 L,+4 dBu,Redundant feed
SD16 (AES50-B),6,Backup broadcast R,Matrix 6 R,+4 dBu,Redundant feed
SD16 (AES50-B),7,Spare,-,-,
SD16 (AES50-B),8,Spare,-,-,
WING AES/EBU,Out L/R,Digital broadcast feed,Matrix 6,0 dBFS ref,Use if Osee accepts AES
WING USB-B,1-48,Logic Pro multitrack,Channel direct outs,Post-preamp pre-EQ,See doc 10
WING-LIVE SD,1-48,Backup recording,Channel direct outs,Post-preamp pre-EQ,Independent of Logic Pro
